match_days,match_href,match_title,match_result,match_ground,match_location
1992-01-09,https://www.cricbuzz.com/cricket-scores/6754/vs-8th-match-australia-india-west-indies-in-australia-1991,"AUSTRALIA vs WINDIES, 8th Match",No result,Melbourne Cricket Ground,Melbourne
1992-01-11,https://www.cricbuzz.com/cricket-scores/6755/vs-9th-match-australia-india-west-indies-in-australia-1991,"INDIA vs WINDIES, 9th Match",West Indies won by 6 wickets (with 9 balls remaining),The Gabba,Brisbane
1992-01-12,https://www.cricbuzz.com/cricket-scores/6756/vs-10th-match-australia-india-west-indies-in-australia-1991,"AUSTRALIA vs WINDIES, 10th Match",West Indies won by 12 runs,The Gabba,Brisbane
1992-01-14,https://www.cricbuzz.com/cricket-scores/6757/vs-11th-match-australia-india-west-indies-in-australia-1991,"AUSTRALIA vs INDIA, 11th Match",Australia won by 9 wickets (with 64 balls remaining),Sydney Cricket Ground,Sydney
1992-01-16,https://www.cricbuzz.com/cricket-scores/6758/vs-12th-match-australia-india-west-indies-in-australia-1991,"INDIA vs WINDIES, 12th Match",India won by 5 wickets (with 20 balls remaining),Melbourne Cricket Ground,Melbourne
1992-01-18,https://www.cricbuzz.com/cricket-scores/6759/vs-1st-final-australia-india-west-indies-in-australia-1991,"AUSTRALIA vs INDIA, 1st Final",Australia won by 88 runs,Melbourne Cricket Ground,Melbourne
1992-01-20,https://www.cricbuzz.com/cricket-scores/6760/vs-2nd-final-australia-india-west-indies-in-australia-1991,"AUSTRALIA vs INDIA, 2nd Final",Australia won by 6 runs,Sydney Cricket Ground,Sydney
1991-11-29 | 1991-12-02,https://www.cricbuzz.com/cricket-scores/6974/vs-1st-test-india-in-australia-test-series-1991-92,"AUSTRALIA vs INDIA, 1st Test",Australia won by 10 wickets,The Gabba,Brisbane
1991-11-29 | 1991-12-02,https://www.cricbuzz.com/cricket-scores/6974/vs-1st-test-india-in-australia-test-series-1991-92,"AUSTRALIA vs INDIA, 1st Test",Australia won by 10 wickets,The Gabba,Brisbane
1991-12-26 | 1991-12-29,https://www.cricbuzz.com/cricket-scores/6975/vs-2nd-test-india-in-australia-test-series-1991-92,"AUSTRALIA vs INDIA, 2nd Test",Australia won by 8 wickets,Melbourne Cricket Ground,Melbourne
1992-01-02 | 1992-01-06,https://www.cricbuzz.com/cricket-scores/6976/vs-3rd-test-india-in-australia-test-series-1991-92,"AUSTRALIA vs INDIA, 3rd Test",Match drawn,Sydney Cricket Ground,Sydney
1992-01-25 | 1992-01-29,https://www.cricbuzz.com/cricket-scores/6977/vs-4th-test-india-in-australia-test-series-1991-92,"AUSTRALIA vs INDIA, 4th Test",Australia won by 38 runs,Adelaide Oval,Adelaide
1992-02-01 | 1992-02-05,https://www.cricbuzz.com/cricket-scores/6978/vs-5th-test-india-in-australia-test-series-1991-92,"AUSTRALIA vs INDIA, 5th Test",Australia won by 300 runs,W.A.C.A. Ground,Perth
1991-11-20,https://www.cricbuzz.com/cricket-scores/6739/vs-1st-odi-west-indies-in-pakistan-odi-series-1991,"PAKISTAN vs WINDIES, 1st ODI",West Indies won by 24 runs,National Stadium,Karachi
1991-11-20,https://www.cricbuzz.com/cricket-scores/6739/vs-1st-odi-west-indies-in-pakistan-odi-series-1991,"PAKISTAN vs WINDIES, 1st ODI",West Indies won by 24 runs,National Stadium,Karachi
1991-11-22,https://www.cricbuzz.com/cricket-scores/6740/vs-2nd-odi-west-indies-in-pakistan-odi-series-1991,"PAKISTAN vs WINDIES, 2nd ODI",Match tied,Gaddafi Stadium,Lahore
1991-11-24,https://www.cricbuzz.com/cricket-scores/6741/vs-3rd-odi-west-indies-in-pakistan-odi-series-1991,"PAKISTAN vs WINDIES, 3rd ODI",West Indies won by 17 runs,Iqbal Stadium,Faisalabad
1991-11-10,https://www.cricbuzz.com/cricket-scores/6736/vs-1st-odi-south-africa-in-india-odi-series-1991,"INDIA vs SOUTH AFRICA, 1st ODI",India won by 3 wickets (with 38 balls remaining),Eden Gardens,Kolkata
1991-11-10,https://www.cricbuzz.com/cricket-scores/6736/vs-1st-odi-south-africa-in-india-odi-series-1991,"INDIA vs SOUTH AFRICA, 1st ODI",India won by 3 wickets (with 38 balls remaining),Eden Gardens,Kolkata
1991-11-12,https://www.cricbuzz.com/cricket-scores/6737/vs-2nd-odi-south-africa-in-india-odi-series-1991,"INDIA vs SOUTH AFRICA, 2nd ODI",India won by 38 runs,Captain Roop Singh Stadium,Gwalior
1991-11-14,https://www.cricbuzz.com/cricket-scores/6738/vs-3rd-odi-south-africa-in-india-odi-series-1991,"INDIA vs SOUTH AFRICA, 3rd ODI",South Africa won by 8 wickets (with 20 balls remaining),Jawaharlal Nehru Stadium,Delhi
1991-10-17,https://www.cricbuzz.com/cricket-scores/6729/vs-1st-match-india-pakistan-west-indies-in-united-arab-emirates-1991,"PAKISTAN vs WINDIES, 1st Match",West Indies won by 1 wicket (with 15 balls remaining),Sharjah Cricket Association Stadium,Sharjah
1991-10-17,https://www.cricbuzz.com/cricket-scores/6729/vs-1st-match-india-pakistan-west-indies-in-united-arab-emirates-1991,"PAKISTAN vs WINDIES, 1st Match",West Indies won by 1 wicket (with 15 balls remaining),Sharjah Cricket Association Stadium,Sharjah
1991-10-18,https://www.cricbuzz.com/cricket-scores/6730/vs-2nd-match-india-pakistan-west-indies-in-united-arab-emirates-1991,"INDIA vs PAKISTAN, 2nd Match",India won by 60 runs,Sharjah Cricket Association Stadium,Sharjah
1991-10-19,https://www.cricbuzz.com/cricket-scores/6731/vs-3rd-match-india-pakistan-west-indies-in-united-arab-emirates-1991,"INDIA vs WINDIES, 3rd Match",India won by 19 runs,Sharjah Cricket Association Stadium,Sharjah
1991-10-21,https://www.cricbuzz.com/cricket-scores/6732/vs-4th-match-india-pakistan-west-indies-in-united-arab-emirates-1991,"PAKISTAN vs WINDIES, 4th Match",Pakistan won by 1 run,Sharjah Cricket Association Stadium,Sharjah
1991-10-22,https://www.cricbuzz.com/cricket-scores/6733/vs-5th-match-india-pakistan-west-indies-in-united-arab-emirates-1991,"INDIA vs WINDIES, 5th Match",India won by 7 wickets (with 75 balls remaining),Sharjah Cricket Association Stadium,Sharjah
1991-10-23,https://www.cricbuzz.com/cricket-scores/6734/vs-6th-match-india-pakistan-west-indies-in-united-arab-emirates-1991,"INDIA vs PAKISTAN, 6th Match",Pakistan won by 4 runs,Sharjah Cricket Association Stadium,Sharjah
1991-10-25,https://www.cricbuzz.com/cricket-scores/6735/vs-final-india-pakistan-west-indies-in-united-arab-emirates-1991,"INDIA vs PAKISTAN, Final",Pakistan won by 72 runs,Sharjah Cricket Association Stadium,Sharjah
1991-08-22 | 1991-08-27,https://www.cricbuzz.com/cricket-scores/6970/vs-only-test-sri-lanka-in-england-test-match-1991,"ENGLAND vs SRI LANKA, Only Test",England won by 137 runs,Lord's,London
1991-08-22 | 1991-08-27,https://www.cricbuzz.com/cricket-scores/6970/vs-only-test-sri-lanka-in-england-test-match-1991,"ENGLAND vs SRI LANKA, Only Test",England won by 137 runs,Lord's,London
1991-06-06 | 1991-06-10,https://www.cricbuzz.com/cricket-scores/6965/vs-1st-test-west-indies-in-england-1991,"ENGLAND vs WINDIES, 1st Test",England won by 115 runs,Headingley,Leeds
1991-06-06 | 1991-06-10,https://www.cricbuzz.com/cricket-scores/6965/vs-1st-test-west-indies-in-england-1991,"ENGLAND vs WINDIES, 1st Test",England won by 115 runs,Headingley,Leeds
1991-06-20 | 1991-06-24,https://www.cricbuzz.com/cricket-scores/6966/vs-2nd-test-west-indies-in-england-1991,"ENGLAND vs WINDIES, 2nd Test",Match drawn,Lord's,London
1991-07-04 | 1991-07-09,https://www.cricbuzz.com/cricket-scores/6967/vs-3rd-test-west-indies-in-england-1991,"ENGLAND vs WINDIES, 3rd Test",West Indies won by 9 wickets,Trent Bridge,Nottingham
1991-07-25 | 1991-07-28,https://www.cricbuzz.com/cricket-scores/6968/vs-4th-test-west-indies-in-england-1991,"ENGLAND vs WINDIES, 4th Test",West Indies won by 7 wickets,Edgbaston,Birmingham
1991-08-08 | 1991-08-12,https://www.cricbuzz.com/cricket-scores/6969/vs-5th-test-west-indies-in-england-1991,"ENGLAND vs WINDIES, 5th Test",England won by 5 wickets,Kennington Oval,London
1991-05-23,https://www.cricbuzz.com/cricket-scores/6726/vs-1st-odi-west-indies-in-england-1991,"ENGLAND vs WINDIES, 1st ODI",England won by 1 wicket (with 32 balls remaining),Edgbaston,Birmingham
1991-05-23,https://www.cricbuzz.com/cricket-scores/6726/vs-1st-odi-west-indies-in-england-1991,"ENGLAND vs WINDIES, 1st ODI",England won by 1 wicket (with 32 balls remaining),Edgbaston,Birmingham
1991-05-25,https://www.cricbuzz.com/cricket-scores/6727/vs-2nd-odi-west-indies-in-england-1991,"ENGLAND vs WINDIES, 2nd ODI",England won by 9 runs,Old Trafford,Manchester
1991-05-27,https://www.cricbuzz.com/cricket-scores/6728/vs-3rd-odi-west-indies-in-england-1991,"ENGLAND vs WINDIES, 3rd ODI",England won by 7 wickets (with 53 balls remaining),Lord's,London
1991-03-01 | 1991-03-06,https://www.cricbuzz.com/cricket-scores/7473/vs-1st-test-australia-in-west-indies-1991,"WINDIES vs AUSTRALIA, 1st Test",Match drawn,Sabina Park,Kingston
1991-03-01 | 1991-03-06,https://www.cricbuzz.com/cricket-scores/7473/vs-1st-test-australia-in-west-indies-1991,"WINDIES vs AUSTRALIA, 1st Test",Match drawn,Sabina Park,Kingston
1991-03-23 | 1991-03-28,https://www.cricbuzz.com/cricket-scores/7474/vs-2nd-test-australia-in-west-indies-1991,"WINDIES vs AUSTRALIA, 2nd Test",West Indies won by 10 wickets,Bourda,Georgetown
1991-04-05 | 1991-04-10,https://www.cricbuzz.com/cricket-scores/7475/vs-3rd-test-australia-in-west-indies-1991,"WINDIES vs AUSTRALIA, 3rd Test",Match drawn,Queen's Park Oval,Port of Spain
1991-04-19 | 1991-04-24,https://www.cricbuzz.com/cricket-scores/7476/vs-4th-test-australia-in-west-indies-1991,"WINDIES vs AUSTRALIA, 4th Test",West Indies won by 343 runs,Kensington Oval,Bridgetown
1991-04-27 | 1991-05-01,https://www.cricbuzz.com/cricket-scores/7477/vs-5th-test-australia-in-west-indies-1991,"WINDIES vs AUSTRALIA, 5th Test",Australia won by 157 runs,Antigua Recreation Ground,St John's
1991-02-26,https://www.cricbuzz.com/cricket-scores/7345/vs-1st-odi-australia-in-west-indies-odi-series-1991,"WINDIES vs AUSTRALIA, 1st ODI",Australia won by 35 runs,Sabina Park,Kingston
1991-02-26,https://www.cricbuzz.com/cricket-scores/7345/vs-1st-odi-australia-in-west-indies-odi-series-1991,"WINDIES vs AUSTRALIA, 1st ODI",Australia won by 35 runs,Sabina Park,Kingston
1991-03-09,https://www.cricbuzz.com/cricket-scores/7346/vs-2nd-odi-australia-in-west-indies-odi-series-1991,"WINDIES vs AUSTRALIA, 2nd ODI",Australia won by 45 runs,Queen's Park Oval,Port of Spain
1991-03-10,https://www.cricbuzz.com/cricket-scores/7347/vs-3rd-odi-australia-in-west-indies-odi-series-1991,"WINDIES vs AUSTRALIA, 3rd ODI",West Indies won by 7 wickets (with 15 balls remaining) (revised target),Queen's Park Oval,Port of Spain
1991-03-13,https://www.cricbuzz.com/cricket-scores/7348/vs-4th-odi-australia-in-west-indies-odi-series-1991,"WINDIES vs AUSTRALIA, 4th ODI",Australia won by 37 runs,Kensington Oval,Bridgetown
1991-03-20,https://www.cricbuzz.com/cricket-scores/7349/vs-5th-odi-australia-in-west-indies-odi-series-1991,"WINDIES vs AUSTRALIA, 5th ODI",Australia won by 6 wickets (with 9 balls remaining),Bourda,Georgetown
1991-02-09,https://www.cricbuzz.com/cricket-scores/7342/vs-1st-odi-england-in-new-zealand-odi-series-1991,"NEW ZEALAND vs ENGLAND, 1st ODI",England won by 14 runs,AMI Stadium,Christchurch
1991-02-09,https://www.cricbuzz.com/cricket-scores/7342/vs-1st-odi-england-in-new-zealand-odi-series-1991,"NEW ZEALAND vs ENGLAND, 1st ODI",England won by 14 runs,AMI Stadium,Christchurch
1991-02-13,https://www.cricbuzz.com/cricket-scores/7343/vs-2nd-odi-england-in-new-zealand-odi-series-1991,"NEW ZEALAND vs ENGLAND, 2nd ODI",New Zealand won by 9 runs,Basin Reserve,Wellington
1991-02-16,https://www.cricbuzz.com/cricket-scores/7344/vs-3rd-odi-england-in-new-zealand-odi-series-1991,"NEW ZEALAND vs ENGLAND, 3rd ODI",New Zealand won by 7 runs,Eden Park,Auckland
1991-01-31 | 1991-02-04,https://www.cricbuzz.com/cricket-scores/7470/vs-1st-test-sri-lanka-in-new-zealand-test-series-1991,"NEW ZEALAND vs SRI LANKA, 1st Test",Match drawn,Basin Reserve,Wellington
1991-01-31 | 1991-02-04,https://www.cricbuzz.com/cricket-scores/7470/vs-1st-test-sri-lanka-in-new-zealand-test-series-1991,"NEW ZEALAND vs SRI LANKA, 1st Test",Match drawn,Basin Reserve,Wellington
1991-02-22 | 1991-02-26,https://www.cricbuzz.com/cricket-scores/7471/vs-2nd-test-sri-lanka-in-new-zealand-test-series-1991,"NEW ZEALAND vs SRI LANKA, 2nd Test",Match drawn,Seddon Park,Hamilton
1991-03-01 | 1991-03-05,https://www.cricbuzz.com/cricket-scores/7472/vs-3rd-test-sri-lanka-in-new-zealand-test-series-1991,"NEW ZEALAND vs SRI LANKA, 3rd Test",Match drawn,Eden Park,Auckland
1991-01-26,https://www.cricbuzz.com/cricket-scores/7339/vs-1st-odi-sri-lanka-in-new-zealand-odi-series-1991,"NEW ZEALAND vs SRI LANKA, 1st ODI",New Zealand won by 5 wickets (with 45 balls remaining),McLean Park,Napier
1991-01-26,https://www.cricbuzz.com/cricket-scores/7339/vs-1st-odi-sri-lanka-in-new-zealand-odi-series-1991,"NEW ZEALAND vs SRI LANKA, 1st ODI",New Zealand won by 5 wickets (with 45 balls remaining),McLean Park,Napier
1991-01-28,https://www.cricbuzz.com/cricket-scores/7340/vs-2nd-odi-sri-lanka-in-new-zealand-odi-series-1991,"NEW ZEALAND vs SRI LANKA, 2nd ODI",New Zealand won by 41 runs,Eden Park,Auckland
1991-02-06,https://www.cricbuzz.com/cricket-scores/7341/vs-3rd-odi-sri-lanka-in-new-zealand-odi-series-1991,"NEW ZEALAND vs SRI LANKA, 3rd ODI",New Zealand won by 107 runs,Carisbrook,Dunedin
1992-12-26,https://www.cricbuzz.com/cricket-scores/6827/vs-1st-odi-pakistan-in-new-zealand-odi-series-1992,"NEW ZEALAND vs PAKISTAN, 1st ODI",Pakistan won by 50 runs,Basin Reserve,Wellington
1992-12-26,https://www.cricbuzz.com/cricket-scores/6827/vs-1st-odi-pakistan-in-new-zealand-odi-series-1992,"NEW ZEALAND vs PAKISTAN, 1st ODI",Pakistan won by 50 runs,Basin Reserve,Wellington
1992-12-28,https://www.cricbuzz.com/cricket-scores/6828/vs-2nd-odi-pakistan-in-new-zealand-odi-series-1992,"NEW ZEALAND vs PAKISTAN, 2nd ODI",New Zealand won by 6 wickets (with 26 balls remaining),McLean Park,Napier
1992-12-30,https://www.cricbuzz.com/cricket-scores/6829/vs-3rd-odi-pakistan-in-new-zealand-odi-series-1992,"NEW ZEALAND vs PAKISTAN, 3rd ODI",New Zealand won by 6 wickets (with 44 balls remaining),Eden Park,Auckland
1992-12-07,https://www.cricbuzz.com/cricket-scores/6820/vs-1st-odi-india-in-south-africa-odi-series-1992,"SOUTH AFRICA vs INDIA, 1st ODI",South Africa won by 6 wickets (with 3 balls remaining),Newlands,Cape Town
1992-12-07,https://www.cricbuzz.com/cricket-scores/6820/vs-1st-odi-india-in-south-africa-odi-series-1992,"SOUTH AFRICA vs INDIA, 1st ODI",South Africa won by 6 wickets (with 3 balls remaining),Newlands,Cape Town
1992-12-09,https://www.cricbuzz.com/cricket-scores/6821/vs-2nd-odi-india-in-south-africa-odi-series-1992,"SOUTH AFRICA vs INDIA, 2nd ODI",South Africa won by 6 wickets (with 20 balls remaining),St George's Park,Port Elizabeth
1992-12-11,https://www.cricbuzz.com/cricket-scores/6822/vs-3rd-odi-india-in-south-africa-odi-series-1992,"SOUTH AFRICA vs INDIA, 3rd ODI",India won by 4 wickets (with 5 balls remaining),SuperSport Park,Centurion
1992-12-13,https://www.cricbuzz.com/cricket-scores/6823/vs-4th-odi-india-in-south-africa-odi-series-1992,"SOUTH AFRICA vs INDIA, 4th ODI",South Africa won by 6 wickets (with 9 balls remaining),The Wanderers Stadium,Johannesburg
1992-12-15,https://www.cricbuzz.com/cricket-scores/6824/vs-5th-odi-india-in-south-africa-odi-series-1992,"SOUTH AFRICA vs INDIA, 5th ODI",South Africa won by 8 wickets (with 16 balls remaining),Mangaung Oval,Bloemfontein
1992-12-17,https://www.cricbuzz.com/cricket-scores/6825/vs-6th-odi-india-in-south-africa-odi-series-1992,"SOUTH AFRICA vs INDIA, 6th ODI",South Africa won by 39 runs,Kingsmead,Durban
1992-12-19,https://www.cricbuzz.com/cricket-scores/6826/vs-7th-odi-india-in-south-africa-odi-series-1992,"SOUTH AFRICA vs INDIA, 7th ODI",India won by 5 wickets (with 16 balls remaining),Buffalo Park,East London
1992-12-04,https://www.cricbuzz.com/cricket-scores/6830/vs-1st-match-australia-pakistan-west-indies-in-australia-1992-93,"PAKISTAN vs WINDIES, 1st Match",Pakistan won by 5 wickets (with 4 balls remaining),W.A.C.A. Ground,Perth
1992-12-04,https://www.cricbuzz.com/cricket-scores/6830/vs-1st-match-australia-pakistan-west-indies-in-australia-1992-93,"PAKISTAN vs WINDIES, 1st Match",Pakistan won by 5 wickets (with 4 balls remaining),W.A.C.A. Ground,Perth
1992-12-06,https://www.cricbuzz.com/cricket-scores/6831/vs-2nd-match-australia-pakistan-west-indies-in-australia-1992-93,"AUSTRALIA vs WINDIES, 2nd Match",West Indies won by 9 wickets (with 69 balls remaining),W.A.C.A. Ground,Perth
1992-12-08,https://www.cricbuzz.com/cricket-scores/6832/vs-3rd-match-australia-pakistan-west-indies-in-australia-1992-93,"AUSTRALIA vs WINDIES, 3rd Match",Australia won by 14 runs,Sydney Cricket Ground,Sydney
1992-12-10,https://www.cricbuzz.com/cricket-scores/6833/vs-4th-match-australia-pakistan-west-indies-in-australia-1992-93,"AUSTRALIA vs PAKISTAN, 4th Match",Match tied,Bellerive Oval,Hobart
1992-12-12,https://www.cricbuzz.com/cricket-scores/6834/vs-5th-match-australia-pakistan-west-indies-in-australia-1992-93,"PAKISTAN vs WINDIES, 5th Match",West Indies won by 4 runs,Adelaide Oval,Adelaide
1992-12-13,https://www.cricbuzz.com/cricket-scores/6835/vs-6th-match-australia-pakistan-west-indies-in-australia-1992-93,"AUSTRALIA vs PAKISTAN, 6th Match",Australia won by 8 wickets (with 12 balls remaining),Adelaide Oval,Adelaide
1992-12-15,https://www.cricbuzz.com/cricket-scores/6836/vs-7th-match-australia-pakistan-west-indies-in-australia-1992-93,"AUSTRALIA vs WINDIES, 7th Match",Australia won by 4 runs,Melbourne Cricket Ground,Melbourne
1992-12-17,https://www.cricbuzz.com/cricket-scores/6837/vs-8th-match-australia-pakistan-west-indies-in-australia-1992-93,"PAKISTAN vs WINDIES, 8th Match",West Indies won by 133 runs,Sydney Cricket Ground,Sydney
1993-01-09,https://www.cricbuzz.com/cricket-scores/6838/vs-9th-match-australia-pakistan-west-indies-in-australia-1992-93,"PAKISTAN vs WINDIES, 9th Match",West Indies won by 9 wickets (with 184 balls remaining),The Gabba,Brisbane
1993-01-10,https://www.cricbuzz.com/cricket-scores/6839/vs-10th-match-australia-pakistan-west-indies-in-australia-1992-93,"AUSTRALIA vs WINDIES, 10th Match",West Indies won by 7 runs,The Gabba,Brisbane
1993-01-12,https://www.cricbuzz.com/cricket-scores/6840/vs-11th-match-australia-pakistan-west-indies-in-australia-1992-93,"AUSTRALIA vs PAKISTAN, 11th Match",Australia won by 32 runs,Melbourne Cricket Ground,Melbourne
1993-01-14,https://www.cricbuzz.com/cricket-scores/6841/vs-12th-match-australia-pakistan-west-indies-in-australia-1992-93,"AUSTRALIA vs PAKISTAN, 12th Match",Australia won by 23 runs,Sydney Cricket Ground,Sydney
1993-01-16,https://www.cricbuzz.com/cricket-scores/6842/vs-1st-final-australia-pakistan-west-indies-in-australia-1992-93,"AUSTRALIA vs WINDIES, 1st Final",West Indies won by 25 runs,Sydney Cricket Ground,Sydney
1993-01-18,https://www.cricbuzz.com/cricket-scores/6843/vs-2nd-final-australia-pakistan-west-indies-in-australia-1992-93,"AUSTRALIA vs WINDIES, 2nd Final",West Indies won by 4 wickets (with 18 balls remaining),Melbourne Cricket Ground,Melbourne
1992-12-04,https://www.cricbuzz.com/cricket-scores/6817/vs-1st-odi-new-zealand-in-sri-lanka-odi-series-1992,"SRI LANKA vs NEW ZEALAND, 1st ODI",No result,R.Premadasa Stadium,Colombo
1992-12-04,https://www.cricbuzz.com/cricket-scores/6817/vs-1st-odi-new-zealand-in-sri-lanka-odi-series-1992,"SRI LANKA vs NEW ZEALAND, 1st ODI",No result,R.Premadasa Stadium,Colombo
1992-12-12,https://www.cricbuzz.com/cricket-scores/6818/vs-2nd-odi-new-zealand-in-sri-lanka-odi-series-1992,"SRI LANKA vs NEW ZEALAND, 2nd ODI",Sri Lanka won by 8 wickets (with 74 balls remaining),P Sara Oval,Colombo
1992-12-13,https://www.cricbuzz.com/cricket-scores/6819/vs-3rd-odi-new-zealand-in-sri-lanka-odi-series-1992,"SRI LANKA vs NEW ZEALAND, 3rd ODI",Sri Lanka won by 31 runs,R.Premadasa Stadium,Colombo
1992-11-27 | 1992-12-02,https://www.cricbuzz.com/cricket-scores/6994/vs-1st-test-new-zealand-in-sri-lanka-test-series-1992,"SRI LANKA vs NEW ZEALAND, 1st Test",Match drawn,Tyronne Fernando Stadium,Moratuwa
